<UserName>|<Password>|<ID>|<Fullname>|<phone#>|<ID_type>|<IDnum>|<credits>|<licenseID>|<expdate>|<rating>
abc|123|m-123|nhat nguyen  |84336222|CITIZEN_ID |123456789|12|12323|2/11/2021    |9.0
xxx|123|m-123|khoa le      |84336222|CITIZEN_ID |123456789|20|88695|23/10/2044   |9.0
aaa|123|m-123|khoi nguyen  |84336222|CITIZEN_ID |123456789|10|34955|27/9/2022    |9.0
att|123|m-123|Harry potter |84336222|CITIZEN_ID |123456789|15|49605|25/8/2042    |9.0
abc|123|m-123|nhat nguyen  |84336222|PASSPORT   |123456789|90|23451|12/12/2009   |9.0
aoo|123|m-123|nhat nguyen  |84336222|CITIZEN_ID |123456789|33|00578|8/62/2055 |9.0
app|123|m-123|nhat nguyen  |84336222|PASSPORT   |123456789|22|23231|9/5/2033| 9.0
abc|123|m-123|nhat nguyen  |84336222|PASSPORT   |123456789|41|24950|8/12/2067 |9.0
abc|123|m-123|nhat nguyen  |84336222|PASSPORT   |123456789|98|38591|28/4/2009 |9.0
abc|123|m-123|nhat nguyen  |84336222|CITIZEN_ID |123456789|11|00485|1/7/2023| 9.0
